Date,High,Low,Close,upper_bb,middle_bb,lower_bb,%k,%d,buy_price,sell_price,bb_stoch_signal,position
2021-10-19,3534.9252778064065,3472.754289955245,3481.327880859375,3796.138442427479,3425.651450150646,3610.8949462890623,8.587036803850724,7.152218597108089,,,0,0
2021-10-20,3477.3520641868236,3427.826187623221,3457.091552734375,3792.1422862512054,3406.014818240982,3599.0785522460938,7.5626679034969415,9.38349187180798,,,0,0
2021-10-21,3455.7508206932744,3363.596233737781,3383.95263671875,3793.8100068079584,3373.4768828404794,3583.643444824219,4.511600168805829,6.887101625384489,,,0,0
2021-10-22,3411.828537074256,3338.449608513958,3351.71728515625,3792.969134516752,3339.545196537935,3566.2571655273437,2.7852905917670543,4.9531862213565985,,,0,0
2021-10-25,3366.757451932379,3304.92183858348,3346.065673828125,3786.043059536666,3310.9375556977093,3548.4903076171877,8.06938393459409,5.122091565055648,,,0,0
2021-10-26,3380.5998343466717,3328.870621806371,3336.151123046875,3780.3154854126924,3283.424163024808,3531.86982421875,6.124880795369868,5.659851773910327,,,0,0
2021-10-27,3363.59588795759,3336.533849129594,3343.0,3777.3340573181185,3259.3758792053186,3518.3549682617186,7.468124985585506,7.220796571849811,,,0,0
2021-10-28,3370.062083136462,3271.393409298186,3277.763671875,3775.863773716993,3226.073775111132,3500.9687744140624,1.1722880182911366,4.921764599748827,,,0,0
2021-10-29,3315.4591275792573,3243.565059560628,3254.868896484375,3773.9002233318733,3192.538717097814,3483.2194702148436,3.2386182726192656,3.9596770921652933,,,0,0
2021-11-01,3340.3657714609403,3269.4296520228904,3330.21142578125,3767.0002163527392,3175.8103305222608,3471.4052734375,28.81022222725366,11.073709506054678,,,0,0
2021-11-02,3365.846923158432,3323.840800613372,3337.68310546875,3751.949093933612,3163.8593289179507,3457.9042114257813,32.30298442072424,21.450608306865718,,,0,0
2021-11-03,3371.881950948172,3320.2965780204827,3345.394775390625,3723.0186719809994,3160.8221483315006,3441.92041015625,34.9497664585417,32.020991035506526,,,0,0
2021-11-04,3365.511880359157,3357.6088068480312,3361.105224609375,3694.219848477768,3161.3661866784814,3427.793017578125,40.34187156930098,35.8648741495223,,,0,0
2021-11-08,3398.8007765104203,3334.8097793773973,3355.45361328125,3638.462320487739,3180.4635584185107,3409.462939453125,38.40213821718029,37.89792541500765,,,0,0
2021-11-09,3386.346982561254,3348.9870017069716,3358.279052734375,3547.2366360292413,3231.2243014707587,3389.23046875,49.06773725817839,42.60391568155321,,,0,0
2021-11-10,3371.6900797855055,3333.8511276023273,3337.77880859375,3526.0204763665856,3233.8330148443515,3379.9267456054686,44.40154161627507,43.95713903054457,,,0,0
2021-11-11,3362.446645813699,3291.510523866493,3341.515380859375,3509.284417065064,3235.4665839114987,3372.3755004882814,58.21246698696917,50.560581953807535,,,0,0
2021-11-12,3385.5329226188733,3339.1203738237928,3377.773681640625,3490.8286416981337,3242.2210653331167,3366.524853515625,86.45473137048991,63.02291332457804,,,0,0
2021-11-15,3419.4922893565586,3379.6415471780642,3403.877685546875,3481.592968277824,3245.886279769051,3363.7396240234375,91.1243962473598,78.59719820160628,,,0,0
2021-11-16,3425.191772392021,3393.052563140256,3406.846923828125,3462.5476862708697,3256.2381535728805,3359.392919921875,89.89969686841945,89.1596081620897,,,0,0
2021-11-17,3413.026266518554,3358.949896738527,3373.798095703125,3440.229806477089,3267.8030548510364,3354.0164306640627,71.70367954817,84.24259088798307,,,0,0
2021-11-18,3372.7920290979646,3306.454115941561,3329.54052734375,3419.4084964124168,3275.8692623766456,3347.638879394531,47.336356223621365,69.64657754673692,,,0,0
2021-11-22,3368.0982324022243,3295.6295380510833,3312.96826171875,3415.3166422811605,3272.862679007902,3344.0896606445312,27.951988322115955,48.99734136463576,,,0,0
2021-11-23,3334.5702001382633,3264.4963731887046,3318.572509765625,3414.45012344688,3270.41472030312,3342.432421875,33.65132844189379,36.31322432921036,,,0,0
2021-11-24,3346.1610980783794,3280.0147262888886,3298.503173828125,3414.661447805661,3265.4471459443394,3340.054296875,21.162273971760694,27.588530245256802,3298.503173828125,,1,1
2021-11-25,3317.375151033632,3289.6425929506936,3300.994140625,3414.9202567198645,3261.672638787948,3338.2964477539062,22.712391031256193,25.841997814970213,,,0,1
2021-11-26,3343.2396737907075,3268.4238156212796,3301.904296875,3414.5205982306857,3257.9627269646267,3336.241662597656,23.27877703515693,22.38448067939126,,,0,1
2021-11-29,3380.934842185182,3263.2028587147347,3354.73486328125,3413.6925043629626,3266.4879399729753,3340.090222167969,56.50510426217501,34.16542410952936,,,0,1
2021-11-30,3413.888515470138,3344.197771310067,3380.743408203125,3410.176280710144,3282.5916147976686,3346.3839477539063,72.56086038242971,50.78158055992054,,,0,1
2021-12-01,3439.034089408638,3386.3469376210405,3427.34716796875,3424.008090505598,3278.473379220965,3351.2407348632814,93.35333012584479,74.13976492348316,,,0,1
2021-12-02,3494.5955910865246,3423.8033013627874,3489.7099609375,3453.9718806370524,3263.7122746363852,3358.842077636719,97.88859827231973,87.93426292686473,,,0,1
2021-12-03,3511.7902284248435,3478.166386245571,3487.362548828125,3476.7412988938313,3255.1396337233564,3365.940466308594,90.17340276571376,93.80511038795942,,,0,1
2021-12-06,3504.1750903376947,3373.8941137696447,3387.6884765625,3478.4633236404084,3256.075934172092,3367.26962890625,50.077209470833026,79.37973683628883,,,0,1
2021-12-07,3446.6986620181074,3376.097905182393,3433.766357421875,3486.0808541274214,3256.289678099141,3371.185266113281,68.6130992520029,69.62123716284988,,,0,1
2021-12-08,3493.110749708325,3449.5720435316025,3474.3828125,3500.5464424964835,3253.4344657066417,3376.9904541015626,84.95200461372342,67.88077111218644,,,0,1
2021-12-09,3481.9025770452026,3416.0436315408742,3450.290283203125,3508.870791978612,3256.3612636854505,3382.6160278320312,75.26022931356614,76.27511105976414,,,0,1
2021-12-10,3488.8474950177338,3424.7608512206652,3483.8662109375,3522.1328135993554,3257.3343250725193,3389.7335693359373,88.76692025024957,82.99305139251302,,,0,1
2021-12-13,3508.006100725824,3450.241780910661,3457.857421875,3529.4173786285223,3258.05813406679,3393.737756347656,78.3042852849936,80.77714494960308,,,0,1
2021-12-14,3482.142060090608,3426.29362759274,3471.4130859375,3537.148467127616,3257.0805856067586,3397.1145263671874,83.75736364464959,83.60952305996423,,,0,1
2021-12-15,3470.646823877812,3408.5237806929294,3420.2109375,3538.1393716440684,3257.4260824574944,3397.7827270507814,63.16011910354133,75.07392267772815,,,0,1
2021-12-16,3456.708565010104,3419.875498918422,3430.98779296875,3541.2714162442903,3260.0130075838347,3400.6422119140625,67.4953576481695,71.4709467987868,,,0,1
2021-12-17,3497.8046061817963,3423.419780629714,3433.6220703125,3543.05860660612,3268.63397151888,3405.8462890625,53.35818839459488,61.3378883821019,,,0,1
2021-12-20,3454.3610313416198,3362.5416075495955,3407.32568359375,3540.632959682785,3280.4953606297154,3410.56416015625,30.006358371370183,50.286634804711504,,,0,1
2021-12-21,3488.0811009587787,3416.426525498234,3456.564697265625,3541.485400395861,3293.442138666639,3417.46376953125,62.99762715705114,48.78739130767206,,,0,1
2021-12-22,3483.866679336105,3454.6013098532017,3478.071044921875,3539.7381154127484,3313.1462107591265,3426.4421630859374,77.40737347841008,56.803786335610454,,,0,1
2021-12-23,3516.148800403455,3477.351899050413,3508.6767578125,3539.25941936578,3334.393168524845,3436.8262939453125,95.13561672983386,78.51353912176502,,,0,1
2021-12-24,3549.19835626562,3491.5299169278364,3516.5322265625,3534.2336418227774,3360.881739036598,3447.5576904296877,82.49935781704974,85.01411600843122,,,0,1
2021-12-27,3544.408267635347,3499.4805915222446,3540.67236328125,3541.4726547948794,3372.236476064496,3456.8545654296877,95.43226106582338,91.02241187090232,,,0,1
2021-12-28,3568.3576944820747,3538.517696170481,3550.68359375,3551.897023606933,3378.80612580713,3465.3515747070314,91.41267284035335,89.78143057440882,,,0,1
2021-12-29,3563.5199833920437,3530.0397347181824,3539.331787109375,3561.5392377063954,3380.3623736217296,3470.9508056640625,85.89716294517731,90.91403228378466,,,0,1
2021-12-30,3582.726923439069,3525.250020924004,3576.73974609375,3577.324417321527,3373.2801725222225,3475.302294921875,97.28084621759038,91.53022733437366,,,0,1
