Date,High,Low,Close,Volume,%k,%d,macd,macd_signal,macd_hist,buy_price,sell_price,stoch_macd_signal,position
2024-05-23,12853.692217190104,12356.340068734084,12813.869140625,768732,94.5388931863555,57.21519422023878,69.73083512226549,84.1210225215806,-14.39018739931511,,,0,0
2024-05-24,12912.041544985559,12691.12814430029,12878.8056640625,624801,95.77990230105013,78.82477224583259,92.18435247392699,85.73368851204988,6.450663961877112,,,0,0
2024-05-27,12936.312278532907,12657.44625974001,12785.337890625,464953,81.4032616158659,90.57401903442384,101.26948696270665,88.84084820218123,12.428638760525416,,,0,0
2024-05-28,12864.440940123417,12680.478337523158,12698.65625,333806,68.37170795515031,81.85162395735544,100.31862684607768,91.13640393096053,9.182222915117151,,,0,0
2024-05-29,12729.812205948645,12630.698564813252,12668.9873046875,353706,64.4232364065883,71.39940199253483,96.06366528423496,92.12185620161543,3.9418090826195282,,,0,0
2024-05-30,12690.137419506073,12432.570227541079,12480.12109375,524559,39.288104283868705,57.36101621520243,76.56901287143046,89.01128753557845,-12.442274664147988,,,0,0
2024-05-31,12515.140087637092,12214.628903015015,12283.2802734375,908304,13.09167665851399,38.93433911632366,44.720441835084785,80.15311839547972,-35.43267656039494,,,0,0
2024-06-03,12704.996558668421,12286.499227077456,12359.4111328125,485936,23.22350065979101,25.201093867391236,25.331340012193323,69.18876271882245,-43.85742270662912,,,0,0
2024-06-04,12479.328848972598,11453.27030779509,12062.119140625,825928,41.05405274046332,25.789743352922773,-13.863828485225895,52.57824447801278,-66.44207296323867,,,0,0
2024-06-05,12496.069980177144,12011.645533761235,12385.61328125,447581,62.86693106811179,42.38149482278871,-18.608501093056475,38.34089536379893,-56.9493964568554,,,0,0
2024-06-06,12571.259672002603,12351.33692596757,12554.9140625,447536,74.2827092180567,59.40123100887727,-8.608299063944287,28.951056478250287,-37.559355542194574,,,0,0
2024-06-07,12707.968905874073,12464.61705634349,12691.029296875,532480,83.46081995670843,73.53682008095898,10.182912664722608,25.19742771554475,-15.014515050822144,,,0,0
2024-06-10,12799.10762770842,12509.741192847567,12598.5517578125,293471,77.225154285258,78.32289448667437,17.4122017843074,23.640382529297284,-6.228180744989885,,,0,0
2024-06-11,12818.474379154848,12536.785430349557,12743.28515625,358807,86.98437899320709,82.55678441172451,34.42342929712322,25.79699188286247,8.62643741426075,,,0,0
2024-06-12,12830.411410167795,12682.21160528097,12729.1181640625,302719,86.0291132308732,83.41288216977942,46.22889387713985,29.883372281717946,16.345521595421907,,,0,0
2024-06-13,12818.920383721264,12620.395140113187,12726.6416015625,297240,85.86212115992272,86.291871128001,54.75380394550484,34.85745861447533,19.896345331029515,,,0,0
2024-06-14,12774.34164101757,12659.228729526694,12725.0078125,216967,90.11932898622169,87.33685445900586,60.678558815214274,40.021678654623116,20.656880160591157,,,0,0
2024-06-18,12759.482439259258,12424.694428200712,12443.41796875,823306,71.89878068768436,82.62674361127625,42.16595975227938,40.45053487415437,1.715424878125006,,,0,0
2024-06-19,12506.868388493536,12085.845096207615,12127.55078125,694871,48.96233743174015,70.32681570188207,1.9838804607807106,32.75720399147964,-30.77332353069893,,,0,0
2024-06-20,12190.357694077882,12021.453059008987,12035.8173828125,907751,42.30119005334511,54.387436057589866,-36.83817789607201,18.838127613969313,-55.676305510041324,,,0,0
2024-06-21,12250.539495556226,11970.435175946925,12087.3310546875,947800,46.04181414671115,45.7684472105988,-62.72515944607403,2.525470201960644,-65.25062964803467,,,0,0
2024-06-24,12174.01190512642,11928.332439549778,12069.400390625,550862,44.73979331299942,44.36093250435189,-83.72253232988078,-14.72413030440764,-68.99840202547314,,,0,0
2024-06-25,12123.290734685474,11959.091657127068,12003.224609375,594272,8.30217445085908,33.02792730352321,-104.49834226927669,-32.678972697381454,-71.81936957189524,,,0,0
2024-06-26,12208.535705593613,11954.783074178022,12084.111328125,447931,17.268874860090914,23.436947541316467,-113.1323201588948,-48.76964218968413,-64.36267796921067,12084.111328125,,1,1
2024-06-27,12112.889471506884,11897.622932008879,12064.7939453125,1230852,17.921642174823354,14.497563828591112,-120.14856334339493,-63.045426420426296,-57.10313692296863,,,0,1
2024-06-28,12087.330711375513,11891.82769991984,11921.2490234375,1160395,3.1346509849278013,12.775056006614017,-135.72728253104287,-77.58179764254962,-58.14548488849326,,,0,1
2024-07-01,12145.283038710864,11893.21373680829,11995.349609375,1134926,11.029587273340919,10.695293477697353,-140.4749242410944,-90.16042296225858,-50.314501278835834,,,0,1
2024-07-02,12036.263098579684,11882.762772407392,11929.9169921875,687181,4.975918067222539,6.3800521084970825,-147.8134286700133,-101.69102410380953,-46.122404566203784,,,0,1
